,val0,val1,val2,val3,val4,val5,val6,val7,val8,val9,val10,val11,val12,val13,val14,val15,val16,val17,val18,val19,val20,val21,val22,val23,val24,val25,Name
0,27.541195,41.901138,5.413257,15.532805,28.073027,16.640196,29.216211,33.339352,30.908407,18.604614,23.696444,34.821888,30.743767,34.856888,77.505768,75.556297,97.529175,56.904671,99.769714,185.372162,245.498093,91.044319,88.167397,328.181,68.141792,82.692383,Truck
1,16.181984,28.643738,23.47736,10.83917,16.751984,30.960564,13.311966,24.138992,7.092686,2.798026,23.718367,25.905037,23.955402,3.809947,9.081956,16.814274,48.087303,74.740128,15.136309,85.066216,69.083885,89.96225,197.50946,114.646263,55.786049,68.413002,Truck
2,2.887862,38.18819,13.282944,19.991583,38.86071,25.545128,25.112411,43.726723,26.163378,44.569244,33.860191,41.758739,18.710064,83.461189,130.646011,56.31057,95.942947,100.419693,56.156765,81.470039,97.893555,247.67157,43.095966,215.636093,69.940491,123.919716,Truck
3,17.173281,13.899996,5.846554,15.683928,23.809296,19.898577,27.269369,6.588372,11.973699,2.366026,18.650263,19.03688,20.829706,41.02692,19.17115,57.59642,35.374466,190.987396,69.993912,128.876129,138.937866,121.82959,176.023911,101.834373,102.548752,47.214577,Truck
4,38.349045,25.954262,13.460727,22.788517,18.35915,22.487375,11.864182,7.304311,12.685163,14.014984,21.285612,30.295242,5.064733,24.743208,27.616531,42.439407,22.288319,164.912888,161.627579,123.913757,314.286194,52.997559,58.58009,115.86528,56.378422,12.332666,Truck
5,22.30818,34.248322,35.373913,26.101648,15.71436,35.940033,25.79137,11.934912,26.0655,17.879074,40.712658,20.105509,50.7561,25.02729,44.136543,44.649792,76.841965,136.620087,120.059982,153.86319,249.73175,110.623901,219.054962,83.496796,115.845123,130.120117,Truck
6,70.351166,53.30608,25.889484,15.513506,21.378317,37.823013,9.527646,53.248413,31.068087,56.884281,40.580971,30.535301,52.174438,69.757423,50.113174,171.346207,13.082194,37.998978,104.524826,114.512146,108.516327,196.536819,60.16338,153.872879,59.452847,68.017479,Truck
7,136.254837,64.247429,19.06315,71.978661,83.871437,10.464684,28.428539,19.739998,54.784927,45.80912,15.930333,68.997879,19.554344,81.952316,30.568745,32.609364,57.231735,180.466125,228.49707,290.33371,104.443352,109.123795,86.102547,33.397877,86.708664,115.114677,Truck
8,32.31646,60.545795,83.983429,16.187878,29.280148,33.293518,32.134361,42.491966,48.630215,75.648186,19.102345,43.477299,35.842426,36.488655,57.760899,66.226692,89.088097,74.893517,259.935638,323.793884,33.464981,62.565498,197.982025,136.381668,155.550949,165.789795,Truck
9,192.296707,12.614943,57.770622,22.680847,11.923749,21.954212,18.088032,38.505875,28.746973,7.1055,21.17495,68.607193,50.154613,14.088305,19.278421,64.488297,53.013699,121.283806,264.740448,180.165527,166.606598,114.242378,119.58548,119.044266,142.430695,96.255096,Truck
10,7.578386,5.392227,4.845297,1.673761,1.396448,1.012058,2.57055,8.936399,5.015506,9.932984,6.930237,5.154965,5.8847,8.300093,20.125093,20.850155,21.903936,74.722221,17.643393,159.579193,48.089592,201.190659,121.88533,46.017258,15.394586,44.08622,Truck
11,28.163532,12.541826,9.874043,13.656885,5.4815,18.348766,11.677214,27.992567,8.856779,25.814213,9.335011,9.890444,6.93025,27.919682,10.511445,73.563599,30.753147,99.101662,169.234772,60.739296,193.951324,126.468201,63.651237,109.470871,31.658003,53.506264,Truck
12,7.151286,16.081781,12.006134,11.716208,6.035137,15.363444,6.884462,24.731924,2.10552,25.523224,3.601775,17.728718,7.29003,19.950857,14.137066,38.219814,14.439348,153.418686,96.041183,108.998085,207.800293,15.930056,106.290749,66.909019,19.225647,7.6915,Truck
13,3.926716,53.367626,33.414433,22.535007,18.721319,24.710152,35.356697,22.247543,22.184507,29.03577,45.539619,43.755196,37.514679,53.905514,56.188179,131.00499,68.848137,138.802094,207.62468,118.680771,137.353333,80.576355,211.861694,132.561127,150.223251,58.20435,Truck
14,2.327584,27.357796,30.183575,46.524113,40.917416,62.512966,6.214522,32.181583,14.972326,28.02515,13.569676,36.016846,18.768204,50.511456,24.793409,108.631638,50.105122,86.22374,81.361755,224.18222,129.596298,140.994293,111.975845,223.823318,245.135208,44.484051,Truck
15,130.956665,34.655899,23.265188,14.74309,15.717369,28.2073,18.749733,22.892557,7.474668,15.83762,26.980463,34.961441,16.566708,68.221527,47.8433,49.974693,36.177208,18.65452,22.857939,183.778992,228.277374,163.675018,57.065559,109.601952,18.692595,85.385017,Truck
16,22.114452,2.396814,7.350934,17.882767,1.708102,32.484909,24.828171,2.698917,29.51651,50.025391,11.003231,20.054379,21.608364,13.276573,35.673538,6.745932,12.852194,197.135986,131.377411,62.034306,257.077087,91.835083,94.107819,106.854416,39.200794,52.288536,Truck
17,10.385442,55.341862,8.802625,19.112247,17.085192,38.580326,10.585576,13.167405,21.363615,22.964415,6.423201,30.658278,14.290047,33.531338,42.332314,64.835358,64.406113,60.621864,173.583328,111.593956,153.637115,108.346291,179.314774,69.467506,37.689938,101.916443,Truck
18,4.965683,52.117298,22.489498,26.893814,53.349899,40.344269,30.115238,33.106102,12.880514,24.2855,12.986634,20.500433,30.739616,25.147722,31.099142,13.402679,131.048615,222.560532,109.89537,86.004616,66.564415,110.433212,159.524429,87.05262,54.076828,132.294571,Truck
19,67.109009,91.892769,87.62365,16.05278,32.653046,39.152058,21.633076,52.743553,10.334997,77.41288,37.766445,56.048859,42.372227,41.286743,64.923836,66.560501,92.451576,64.192711,198.160065,100.905144,271.564514,40.049061,195.28833,204.447479,81.340797,108.412117,Truck
20,84.933014,60.54562,39.31609,16.036257,9.347028,38.06712,30.364426,34.083027,38.849888,40.316673,41.502651,68.635597,27.372538,92.503197,42.436859,68.248016,83.76487,63.725357,162.860535,85.289291,130.52887,168.56929,165.196487,99.165382,70.885597,142.811005,Truck
21,2.027355,8.087427,12.747952,25.672676,12.489018,21.314568,7.351504,8.746677,10.325751,9.797327,14.211971,19.959272,10.668287,31.902744,16.618954,33.150642,22.925484,46.534607,26.307913,75.033157,184.616608,43.625435,31.684019,31.730938,15.403952,88.575554,Truck
22,81.795593,38.110764,11.957889,29.211924,26.689121,17.590153,15.069282,40.055889,16.118574,28.034098,42.791214,28.874521,27.823553,23.725086,2.795356,41.402443,58.981728,31.457458,98.767204,146.368301,127.863495,125.242462,69.050537,48.896553,136.379135,63.636662,Truck
23,6.351467,38.258461,29.012383,17.685301,21.285688,41.071636,27.885736,32.58923,20.488607,28.66782,57.937225,38.865353,43.029949,84.652115,39.692928,61.573437,110.138168,180.572083,68.428558,108.253098,147.990356,226.745377,30.671326,132.865387,104.194565,149.574142,Truck
