0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Name
3407871,988636387,1148941380,1281107844,529298432,811923947,789157339,507068885,493951058,995859179,1310070074,515215515,1015165234,648385314,632639575,558924575,1251776032,337801021,690200180,720932520,1182007386,1083260440,1218533376,781393117,1044579052,1206215350,Not Truck
417791999,212264790,295225328,316209193,258698459,679910785,497631413,680487133,485574218,651339207,245748150,537682272,248605052,924881198,679025887,954519437,263476262,883209575,597190543,338413223,572766527,1052215186,391329712,974909384,868991725,255720216,Not Truck
262995968,1223026500,385229466,836768152,624964583,370010175,1213110944,305994464,789944799,1210537262,938761746,707999353,764063715,731750457,683587741,877915862,1177936414,233267412,803341776,1024144672,712672825,1218704974,909231229,671969239,1023832087,499565816,Not Truck
97648639,816751187,1002453611,638796546,929974831,1008098912,270280741,1097798294,847801989,277003264,745093363,152521597,775816885,943972865,685989466,491156252,753461405,1138518374,835761293,285928359,638413831,101566941,1066693411,994893565,727965489,1087776824,Not Truck
82051072,1203587766,1048341064,1199629670,577683376,732125598,312674714,1387692050,953601275,1299775238,1361518270,1188091738,880383266,321599372,442167916,604939764,1283097844,801865911,301745952,1037668522,669996809,861291972,1079161476,1091514296,811831657,459655782,Not Truck
393084927,457580789,1057709029,973352998,809514640,1269358058,994515547,781668387,56596966,1071721536,1237029668,646106618,1191056588,1049670875,818639417,1003706597,723393793,786456067,1170600724,408405497,1059132264,583621484,852921884,974853180,251937994,333695138,Not Truck
223674367,1003595476,531617573,782418226,427684432,988004026,189499216,783437790,581212292,766188961,699446316,653175384,780868130,628916180,386751007,838971408,924761528,705276840,1348864784,873412523,861515912,1014943206,946631644,852620365,686783186,1190691094,Not Truck
216465407,204345971,641614307,924826205,958287178,1075048592,903612379,1058236255,425023520,994833557,548959169,646610942,1361628602,932792630,742379950,626266547,1004122325,1185293108,301739159,894086974,1140097966,1094959508,1241291236,911687716,759277563,872220057,Not Truck
547225599,1258466254,254937393,894413768,777578365,852247559,1338351408,520580679,994488056,754690350,306739401,861012085,648943814,615978639,781081169,206368711,820457841,909944839,913493139,678869409,673485005,919756210,1248169422,720768562,1230420164,1039527150,Not Truck
764739583,981397101,341503253,1233027838,893482484,993773769,998678195,128273122,328054531,337725143,802261518,801755718,765453953,1312317210,38551269,446596138,1020367206,657836906,258716945,201358072,924922688,870349531,809498026,856504489,611065819,913969040,Not Truck
554369024,350444637,342565038,963239247,1049180326,580445250,1202619812,457949441,1024286069,531629138,713751141,878681013,1357498220,924399769,545662402,251404723,860462631,758652971,976124070,883954066,1159497648,1066927489,826309437,793100600,684495564,862853016,Not Truck
822083583,563036752,387968094,684251601,1191474778,336196499,624784935,1293997508,1222335356,685250776,419757762,1169235908,678387826,170669056,907586748,198846975,1349773570,1230024032,892955357,1167887744,527914858,906814644,384863291,848306189,630089457,1149341876,Not Truck
136445952,512069446,172569833,449083382,433560073,697143657,684784629,916015706,1028444875,893340765,400529902,967370288,1074335096,884463481,692568936,1120714080,985831250,1165865450,476012471,587925601,360541069,1042157090,926675198,748678138,210845939,767248902,Not Truck
273481727,957501326,543470307,833460767,635325094,805332614,365692479,921079883,971241511,604268229,266308397,626182206,1041200257,864853040,690349278,181467686,930383697,749563363,352987630,853566043,1331612218,647061753,1332619804,1140369384,615029449,554601024,Not Truck
12910591,787684259,356207117,434192168,710702002,325135007,702077530,738051720,90968913,844911437,299583404,698002214,740812509,358062924,502819071,625941379,167059073,479332510,670312682,405939193,952555124,156531573,427812653,1028447654,686999772,1147284916,Not Truck
733872128,1154494644,594350418,840037604,797199176,576054127,664216502,715672563,386579779,1023645160,823027234,906799277,609935040,983055412,277988567,538398664,458046581,834537603,1005203888,1023832341,671689703,522236203,386018158,433680519,1092039378,342642630,Not Truck
294125568,689484933,1045773487,1056594362,581592420,669565492,1494670140,728447550,1152002952,683425693,800091687,582980814,1120973872,652353929,391687910,997879839,172285948,615041159,1026394837,578799009,937680424,957695013,882204823,262296952,298395443,1082303770,Not Truck
925761534,713492687,1039523163,647264108,731836445,296301501,874440653,587750199,720833476,1078098676,1083129898,1017655127,1054275885,604647611,587362384,663726105,579464913,1210719624,832771498,1280351112,896735372,676729575,1019711681,408741861,1171657286,810188670,Not Truck
195166207,1115357910,1131455876,669098270,523121755,307280147,790263496,840769272,714266678,857538210,697132470,1015229169,787513063,949804851,507146103,1166087346,1070614680,1436429816,309925342,370783494,1095825346,1095583538,1340516500,1020203156,890786296,661305187,Not Truck
426180607,886971110,287669322,637518177,684050653,513779063,553784794,818523809,340687311,756780073,486746284,551471010,888186028,236198030,947240540,922116984,522935517,752142607,402232364,106775522,883664322,733419045,574229902,1115153750,373781733,793291334,Not Truck
481951743,770003744,595673515,672872144,318919569,800276122,438499698,343122410,802973439,714972548,534395080,774292106,493531297,1065512144,450372743,548220475,778176505,1077743456,826748845,1113089458,374484514,39691557,1128104996,873768084,721788321,386829417,Not Truck
279576576,724902866,531045595,331471182,1027099574,475712463,541901219,1316312696,684871197,124167149,429011592,264923887,91356419,481387976,286685948,1005027984,106313805,426765943,77382740,351149132,165029388,462284882,49360116,152735300,692003308,780701836,Not Truck
773128193,702677804,540673067,929335734,1053788284,612094819,1207691774,890793496,1017361538,404135250,574853817,766698609,1011158869,721627699,629925399,786875227,1267876962,1007555744,567922428,204057715,653243254,799802964,570409239,580926935,216515248,517933365,Not Truck
727711744,315760616,762214166,569353841,861984109,687035295,328988670,1441892072,1043437860,1119181770,963852067,715435424,779654330,1018086873,627726422,874092160,615491497,872919054,777619699,1027155585,837126097,1146705896,447538600,618234335,891295094,780374035,Not Truck
1031733249,743339775,222310312,1224015474,1191420890,933478392,782248468,400313101,814951422,469284797,1258780492,1112481314,720758994,791065599,1267133304,257262183,1012304803,294847017,1012051994,1063171315,986413432,446159608,478335568,1007815776,967808920,509030065,Not Truck
483590142,940755721,952530259,611979920,1062622920,1506013904,828180700,827759833,811527147,1092731396,186097160,593490847,314996164,370425719,1207656582,1426934926,547017692,818185690,106794415,958429574,1189004098,1038968544,948462983,1102473358,1140212554,680065183,Not Truck
62455808,1150718222,1235381006,908343264,673136760,767370707,178008467,209026781,904020607,742610058,552754441,532923196,743213507,1122304400,632344585,1106575764,723464383,355181392,729034901,1065033503,803880132,743053865,1049069123,916021798,517609418,553227547,Not Truck
829620222,730073102,959529747,503959952,408962685,807575453,707124928,759951685,119229924,690933964,444855246,796397448,717773249,601676394,362406405,694038223,232048812,801783493,122238537,1246353110,985747310,969729793,509102475,994304402,87800313,414895939,Not Truck
587595775,598148650,93870626,764954226,753436314,525915275,1100742828,759487352,960211623,394255738,934836713,1392222308,1335660644,923244266,497755035,515818638,297002127,476651418,1350725416,476860788,1347168498,151293777,831968390,1118562536,998344975,939640761,Not Truck
692256767,992665686,498516993,242766822,800985188,814031314,607712974,779811506,1031405347,293239636,317722269,318902596,60947070,111661718,142326019,516281167,226932635,599718579,441871498,202347083,569211703,1086350288,935877233,455639050,165377359,468110653,Not Truck
346882047,781630141,453682479,394069510,1277854646,497063873,301058114,82996512,588507251,465023010,242493973,444693437,1138202520,609522259,661205726,763139871,330949069,908519816,611023288,1217992566,665621445,651984388,1173248328,1110347840,706292067,1017804484,Not Truck
265093120,351055446,521938529,196866800,410221606,211871705,180294568,393815121,165615092,236868900,192859782,247048212,248381557,358426299,54578682,233156830,151099526,109220634,230077370,340301010,300386795,297200524,424493059,830193531,715625461,559433936,Not Truck
57933823,212603955,610601708,374487660,236716485,219193707,242976626,256589463,56451209,478929157,141924377,74112248,126326874,192711875,111201933,366375565,139586926,311052542,299288389,193716489,682913371,292699015,633473739,542734547,1079483600,519965007,Not Truck
262275072,887241675,434620840,1055658766,963114260,1419095976,662035911,1142828636,1292699788,916745143,275825640,942186941,491403832,213440404,576052073,1148332218,230116498,1339354426,1281928618,890683287,807578506,984062564,1130112580,1058543848,965914909,295728435,Not Truck
950599677,917242799,279870622,381173982,125208024,366840837,186810548,198674181,123895916,271798568,164462510,290592783,272704454,175624191,209789027,102094918,174646074,392438763,131538694,343184428,307186422,308630100,1056170478,472193854,185908981,273850647,Not Truck
616890367,426363768,1202278358,875712907,783034921,755631275,892049288,915052900,433504666,1166436168,1143797680,1021798084,294638095,988753728,1429328722,777227059,789186571,483259735,957530614,851147835,1201571454,961765158,860647998,473808599,868747321,359761303,Not Truck
991166463,702369659,1183702918,977200660,942373984,885546598,239554797,767483275,1303253152,938597679,852426184,465120396,807644040,1358494024,460720823,1267628406,550281584,584211025,918447667,1245575560,1050255632,563058252,185455769,1015406092,188685894,967739336,Not Truck
768868351,440967210,547760981,680257295,1057123878,932244527,723356137,327323024,279217483,507413003,302731880,722927031,342547180,261359646,1104884966,209887862,430520903,791696045,699098800,1189862868,157060671,835156867,1144996812,926442711,935365672,465484395,Not Truck
615579648,544043957,879466424,357440015,331442331,540650768,322291159,527313556,473134713,621555552,602561757,402953469,720702858,688865762,665595018,1219277686,1167148164,889165806,420109410,1073939850,619593462,1182886610,665681963,1092217410,1333019786,1089535936,Not Truck
