,val0,val1,val2,val3,val4,val5,val6,val7,val8,val9,val10,val11,val12,val13,val14,val15,val16,val17,val18,val19,val20,val21,val22,val23,val24,val25,val26,Name
0,923598847,261986977,607296380,657634561,827035189,923627401,841857014,969169608,129496117,721346912,1012892857,886364000,977788272,834181639,625832530,1033170476,1069752458,903120199,883141504,930160322,879948997,931711167,741699427,1251547758,601829417,1135921120,567643349,Truck
1,1025638399,218433636,1258715066,920207792,435578475,926622828,916243685,912785552,763438517,1038149933,1180363216,645609859,955620382,1057564421,723750981,580204900,918163006,439835187,503838255,823818130,1051423750,1084071670,987666043,1103191042,310170883,295822905,914520406,Truck
2,960757757,986506529,681164168,1113555136,1093637974,971492434,608586538,1048582607,746118369,702829492,803627367,836821532,734154766,131727897,1044474541,690164483,1031839246,1149147944,1138384498,675327162,924300760,570809283,1223354016,546048137,1051164978,63685600,353913319,Truck
3,853934079,1377749108,1130717938,976280401,1094200606,475025907,551717493,589597405,1388849056,844512640,771499751,636826543,740281416,485307941,792616681,508800300,974457314,1000392469,160464846,942533779,797712862,1072635087,792901178,680057395,554098570,1338135550,859878607,Truck
4,72024063,924223715,927120995,1364386660,1105152456,1017124870,1149031918,750691519,1176621590,337600855,1174655308,747695908,482921956,1362053980,574893990,365643973,1309129608,1144757760,768632053,889760440,1032704670,967013519,1026952613,990978205,326544189,538095010,921885489,Truck
5,779091967,694761297,551175635,311206526,54729015,146612813,100617290,164691759,101447357,115522960,89283245,137365715,37519231,163273471,106109017,161463787,503800637,106542248,142609076,196800052,295540715,28701176,162433755,109380182,155309002,93002176,23885871,Truck
6,312147968,941297386,847776942,1085950574,1262241952,1080592750,777094848,1340666290,370419704,878504420,593166275,811884167,1242339514,1201144714,1181532450,877953501,426861839,1125771714,941963622,436772758,962145246,829429000,902830712,665446071,1017850517,878415049,823405548,Truck
7,570294271,98659371,36714171,66637883,375907797,122017411,318794087,346426782,168649908,163104207,187627301,237894790,77971316,174651982,105776230,199163531,62707524,84485944,61380998,66372617,35826439,62520536,80905618,79147873,40524332,14733070,7317762,Truck
8,531365887,752246328,81096582,611671955,1027006002,370822682,476682777,628304488,908115544,605873431,714798375,907568103,1123834154,845469930,942367243,1028319544,1007784139,723151194,179833960,866549634,1068321376,750487676,430164010,1057413694,994949247,817406029,841897394,Truck
9,354025471,335659068,676787139,121102610,779862020,603652118,1029147251,1401495708,919972041,713275782,133807613,416674200,619632861,1037513625,863847806,410525282,329398745,799766245,1107184338,457109284,567807819,599159666,295869720,167337151,408511153,275797956,299686046,Truck
